"","x"
"317","ZNF76"
"318","TUB"
"319","TRIM45"
"320","ZNF700"
"321","TSEN2"
"322","WDR53"
"323","TUBA1C"
"324","ZNF121"
"325","ZFAND6"
"326","TNN"
"327","WDR17"
"328","ZP2"
"329","ZNF250"
"330","TWF1"
"331","ZNF696"
"332","WWC3"
"333","ZBTB25"
"334","UQCRQ"
"335","UQCC2"
"336","TP53INP1"
"337","VAMP5"
"338","VPS28"
"339","ZNF276"
"340","TSHZ2"
"341","ZNF254"
"342","ZNF669"
"343","ULBP1"
"344","ZNF692"
"345","UMODL1"
"346","USP4"
"347","TNXB"
"348","VIT"
"349","TP53BP1"
"350","UBTD1"
"351","VIM"
"352","ZDHHC2"
"353","ZFPL1"
"354","XRN2"
"355","UACA"
"356","ZNF416"
"357","UBOX5"
"358","TSPAN2"
"359","TUBB"
"360","UBAP1L"
"361","TNNI3K"
"362","ZNF85"
"363","VASP"
"364","USP31"
"365","ZNF28"
"366","TRADD"
"367","WDR74"
"368","VASH2"
"369","ZNF490"
"370","ZBTB37"
"371","ZFYVE28"
"372","YWHAZ"
"373","TNFSF14"
"374","ZNF286A"
"375","TXN2"
"376","TTC28"
"377","UBE2D4"
"378","VCAN"
"379","ZBTB48"
"380","WDR92"
"381","TRIM73"
"382","TNC"
"383","ZDHHC9"
"384","WFDC13"
"385","ZNRD1"
"386","ZNF664"
"387","TSPEAR"
"388","ZNF445"
"389","ZNF621"
"390","TNNI1"
"391","ZNF813"
"392","UGT2B7"
"393","TOR4A"
"394","ZEB1"
"395","UBQLNL"
"396","ZNF720"
"397","UCK2"
"398","ZNF318"
"399","TUBA3D"
"400","ZNF75A"
"401","WNT2B"
"402","WFDC2"
"403","UBE2Z"
"404","ZNF48"
"405","WWC1"
"406","UBR5"
"407","TNIP2"
"408","ZNF512"
"409","ZNF266"
"410","ZW10"
"411","WASHC3"
"412","ZC3H12A"
"413","ZNF641"
"414","ZNF180"
"415","ZGRF1"
"416","ZNF165"
"417","WTAP"
"418","YOD1"
"419","UGT2B10"
"420","USP46"
"421","ZNF174"
"422","ZNF567"
"423","TOMM40"
"424","VPS37C"
"425","ZNF485"
"426","ZNF385A"
"427","ZBTB22"
"428","ZNF135"
"429","WDR45"
"430","WDR43"
"431","ZNF354B"
"432","WDR89"
"433","TNS2"
"434","XAGE2"
"435","TUSC3"
"436","ZNF670"
"437","WSCD2"
"438","ZSCAN12"
"439","ZNF732"
"440","ZC3H10"
"441","TUBB1"
"442","TRIM32"
"443","TULP3"
"444","ZNF7"
"445","ZBTB33"
"446","TP53I11"
"447","VGLL3"
"448","TRIB2"
"449","ZNF763"
"450","TUSC2"
"451","ZGPAT"
"452","ZNF646"
"453","ZNF117"
"454","WDPCP"
"455","ZNF93"
"456","ZNF786"
"457","ZNF850"
"458","ZNF615"
"459","TTC5"
"460","WASHC4"
"461","TSPAN11"
"462","TNFRSF11B"
"463","ZNF536"
"464","ZNF721"
"465","UPF1"
"466","TYW3"
"467","WWC2"
"468","XAGE3"
"469","ZFP64"
"470","UBE2B"
"471","ZNF630"
"472","TRPC4AP"
"473","ZFP14"
"474","TNPO2"
"475","ZNF596"
"476","UBXN8"
"477","ZNF557"
"478","ZER1"
"479","ZNF773"
"480","XKR8"
"481","WNT2"
"482","TRERF1"
"483","ZCCHC6"
"484","TREH"
"485","WFS1"
"486","ZNF32"
"487","ZNF320"
"488","ZNF746"
"489","ZNF600"
"490","XKR6"
"491","UNC45A"
"492","ZC3H12C"
"493","ZNF385D"
"494","ZBTB39"
"495","UROD"
"496","XPO1"
"497","ZNF41"
"498","UBE2K"
"499","ZSCAN9"
"500","TOE1"
"501","TSPYL6"
"502","TOR1AIP2"
"503","ZC3H14"
"504","ZNF845"
"505","TMPRSS7"
"506","ZSWIM3"
"507","ZNF691"
"508","ZC3HAV1"
"509","TTC33"
"510","TSSK6"
"511","TPM2"
"512","VPS51"
"513","UBQLN4"
"514","TOR1AIP1"
"515","UBE2S"
"516","ZNF480"
"517","TRAPPC2L"
"518","ZNHIT6"
"519","VWC2"
"520","ZNF620"
"521","WDR59"
"522","TPK1"
"523","ZNF706"
"524","ZNF597"
"525","ZPBP"
"526","TPRN"
"527","ZBTB14"
"528","ZNF629"
"529","ZNF2"
"530","ZNF540"
"531","USP33"
"532","VPS16"
"533","ZNF74"
"534","TPT1"
"535","VMA21"
"536","ZBTB3"
"537","ZNF181"
"538","TPD52L2"
"539","ZNF718"
"540","ZNF335"
"541","UBTD2"
"542","ZNF511"
"543","TRPA1"
"544","TSPAN18"
"545","ZNF771"
"546","ZNF330"
"547","ZNF585B"
"548","ZBTB20"
"549","ZNF154"
"550","ZNF256"
"551","ZNF343"
"552","TWSG1"
"553","TSPAN14"
"554","UQCR11"
"555","UBE2L6"
"556","ZNF484"
"557","VN1R1"
"558","ZNF607"
"559","ZNF727"
"560","ZNF14"
"561","TRPC1"
"562","ZNF574"
"563","UQCC3"
"564","XIRP1"
"565","VIPAS39"
"566","ZSCAN21"
"567","TXNDC15"
"568","ZNF446"
"569","UBB"
"570","ZFP90"
"571","ZNF714"
"572","TPST1"
"573","YARS2"
"574","ZNF808"
"575","ZNF444"
"576","TRIB1"
"577","UBC"
"578","UFSP2"
"579","ZBTB26"
"580","XYLB"
"581","WNT7A"
"582","ZNF829"
"583","ZSCAN20"
"584","ZIK1"
"585","ZNF611"
"586","ZFYVE9"
"587","TNFRSF8"
"588","YME1L1"
"589","TTF1"
"590","VAMP8"
"591","UBA52"
"592","ZNF418"
"593","UCN2"
"594","ZNF346"
"595","ZNF184"
"596","URGCP"
"597","TNFRSF6B"
"598","TOMM40L"
"599","TROVE2"
"600","TRAPPC6B"
"601","TNFSF18"
"602","XPNPEP2"
"603","ZNF426"
"604","ZNF260"
"605","UBE2E1"
"606","ZZZ3"
"607","WFDC3"
"608","TUBB8"
"609","ZNF282"
"610","UAP1L1"
"611","TP53I13"
"612","WASHC2C"
"613","ZCCHC9"
"614","WBP4"
"615","ZNF396"
"616","ZNF436"
"617","VPS37D"
"618","VPS13A"
"619","TSPAN31"
"620","ZNF433"
"621","TRDN"
"622","ZNF559-ZNF177"
"623","ZNF501"
"624","ZNF837"
"625","ZFP69"
"626","ZNF197"
"627","UNC5C"
"628","ZNF208"
"629","ZNF724"
"630","VSIG2"
"631","ZNF528"
"632","TPRKB"
"633","YIPF1"
"634","UHRF1BP1L"
"635","ZNF576"
"636","TSNAXIP1"
"637","TRMT1L"
"638","ZNF623"
"639","VIPR1"
"640","ZBTB18"
"641","TUBA8"
"642","ZNF112"
"643","WDR13"
"644","TRIOBP"
"645","USP34"
"646","WRB"
"647","UBTF"
"648","ZNF793"
"649","TRPV3"
"650","UBE2T"
"651","TOMM7"
"652","TP53INP2"
"653","TXNL1"
"654","ZNF785"
"655","YJEFN3"
"656","ZNF883"
"657","ZNF35"
"658","UBA3"
"659","UQCC1"
"660","TTC39B"
"661","UPK3B"
"662","ZNF555"
"663","ZFYVE21"
"664","UNG"
"665","TNFRSF10B"
"666","VBP1"
"667","UCHL5"
"668","ZC4H2"
"669","TRIM27"
"670","ZNF391"
"671","UPP2"
"672","TUFT1"
"673","VSTM4"
"674","ZNF676"
